epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6196,1.95296,2.65805,1.35182,0.5938,0.4717,0.53389,0.29923,1.52917,1.56345,1.28176,0.000554148,0.000554148,0.000554148
2,75.8211,1.92424,1.97913,1.38746,0.62711,0.5771,0.60194,0.31871,1.58794,1.4154,1.34243,0.00108784,0.00108784,0.00108784
3,110.229,1.87082,1.88714,1.38649,0.58893,0.55779,0.57574,0.29719,1.59879,1.46848,1.36451,0.00159953,0.00159953,0.00159953
4,144.56,1.84214,1.72373,1.35992,0.557,0.61995,0.5983,0.29561,1.58999,1.32836,1.3351,0.00156798,0.00156798,0.00156798
5,178.646,1.82321,1.65047,1.37442,0.60324,0.59834,0.62175,0.31732,1.55599,1.31496,1.36457,0.00153497,0.00153497,0.00153497
6,213.354,1.77417,1.55071,1.33437,0.51355,0.64983,0.63124,0.33412,1.46958,1.44928,1.275,0.00150197,0.00150197,0.00150197
7,247.724,1.73298,1.50769,1.30947,0.67661,0.59436,0.64698,0.35801,1.44616,1.18943,1.27847,0.00146896,0.00146896,0.00146896
8,281.317,1.694,1.40517,1.28769,0.66599,0.62976,0.68329,0.37944,1.40504,1.1111,1.26675,0.00143595,0.00143595,0.00143595
9,315.23,1.68848,1.41973,1.29139,0.74476,0.6479,0.71808,0.41944,1.37445,1.11086,1.24951,0.00140295,0.00140295,0.00140295
10,349.598,1.63255,1.3476,1.25559,0.66938,0.67689,0.71735,0.41386,1.3752,1.07506,1.22622,0.00136994,0.00136994,0.00136994
11,384.107,1.6253,1.34506,1.26212,0.7245,0.69524,0.74709,0.43304,1.41159,1.06222,1.23168,0.00133693,0.00133693,0.00133693
12,419.257,1.62595,1.30951,1.24784,0.70638,0.66429,0.72308,0.41796,1.38451,1.0822,1.22481,0.00130393,0.00130393,0.00130393
13,453.524,1.59241,1.25507,1.23793,0.73575,0.64902,0.72701,0.42522,1.34589,1.03343,1.22862,0.00127092,0.00127092,0.00127092
14,488.13,1.60033,1.26275,1.24505,0.71659,0.69649,0.75801,0.43156,1.39256,1.0242,1.22154,0.00123791,0.00123791,0.00123791
15,522.03,1.56359,1.23192,1.22114,0.75648,0.66785,0.74043,0.44245,1.32899,1.01011,1.18646,0.00120491,0.00120491,0.00120491
16,557.01,1.57417,1.23729,1.2122,0.71532,0.68952,0.74119,0.44439,1.34487,0.99086,1.2179,0.0011719,0.0011719,0.0011719
17,591.601,1.5082,1.14771,1.18588,0.72446,0.67036,0.73571,0.4411,1.31431,1.00355,1.17335,0.00113889,0.00113889,0.00113889
18,625.675,1.51905,1.16014,1.19168,0.70156,0.74307,0.77271,0.46103,1.27448,0.97929,1.15635,0.00110589,0.00110589,0.00110589
19,660.782,1.48981,1.14292,1.18605,0.72651,0.71733,0.76389,0.46643,1.2876,0.96424,1.16174,0.00107288,0.00107288,0.00107288
20,695.116,1.4878,1.1497,1.18807,0.68428,0.73016,0.77072,0.45653,1.29958,0.97093,1.17952,0.00103987,0.00103987,0.00103987
21,729.61,1.49777,1.13137,1.19227,0.7688,0.72583,0.79027,0.46816,1.29129,0.93155,1.16018,0.00100687,0.00100687,0.00100687
22,764.082,1.46824,1.11202,1.17038,0.76234,0.71524,0.78118,0.46839,1.26195,0.9307,1.13687,0.000973861,0.000973861,0.000973861
23,798.773,1.46016,1.12511,1.14924,0.71864,0.71179,0.76007,0.45502,1.30911,0.96345,1.17734,0.000940855,0.000940855,0.000940855
24,833.377,1.46655,1.13156,1.16881,0.76933,0.69187,0.76382,0.46756,1.25833,0.91144,1.15207,0.000907848,0.000907848,0.000907848
25,867.829,1.4242,1.05248,1.14338,0.73956,0.7044,0.76837,0.46356,1.30548,0.91642,1.17157,0.000874842,0.000874842,0.000874842
26,903.132,1.44374,1.06769,1.14197,0.7296,0.69885,0.75362,0.46926,1.25403,0.94883,1.1445,0.000841835,0.000841835,0.000841835
27,938.305,1.44007,1.05191,1.15998,0.73834,0.76922,0.78707,0.47805,1.25935,0.88824,1.14717,0.000808828,0.000808828,0.000808828
28,971.645,1.41008,1.02871,1.13116,0.7135,0.74371,0.8024,0.49076,1.24237,0.87766,1.12277,0.000775822,0.000775822,0.000775822
29,1006.97,1.4096,1.02082,1.13917,0.73777,0.75203,0.79918,0.49151,1.23043,0.87915,1.11999,0.000742815,0.000742815,0.000742815
30,1040.86,1.40495,1.02401,1.13325,0.72023,0.74854,0.78876,0.49849,1.20187,0.87151,1.11561,0.000709809,0.000709809,0.000709809
31,1076.06,1.38903,1.00154,1.12201,0.73615,0.76025,0.77099,0.47525,1.24897,0.88651,1.13988,0.000676802,0.000676802,0.000676802
32,1109.59,1.37722,0.98196,1.11952,0.7465,0.74419,0.81101,0.48867,1.2473,0.87607,1.14415,0.000643795,0.000643795,0.000643795
33,1144.14,1.35655,0.99228,1.12154,0.73222,0.7529,0.7987,0.5007,1.21285,0.85981,1.12398,0.000610789,0.000610789,0.000610789
34,1178.37,1.37507,0.97022,1.11678,0.7467,0.75424,0.80297,0.50582,1.19145,0.86646,1.10777,0.000577782,0.000577782,0.000577782
35,1212.82,1.35467,0.94863,1.11133,0.73075,0.7426,0.80162,0.49929,1.21464,0.85381,1.11815,0.000544776,0.000544776,0.000544776
36,1247.93,1.35391,0.96264,1.10149,0.74941,0.74126,0.80998,0.4999,1.19883,0.82453,1.11145,0.000511769,0.000511769,0.000511769
37,1282.79,1.31504,0.94018,1.08394,0.72642,0.70374,0.76288,0.47077,1.19224,0.89393,1.11201,0.000478762,0.000478762,0.000478762
38,1322.17,1.3312,0.97421,1.10337,0.75868,0.75659,0.81524,0.50297,1.17735,0.81365,1.1032,0.000445756,0.000445756,0.000445756
39,1359.83,1.3328,0.94232,1.10682,0.77534,0.67651,0.77701,0.49234,1.20792,0.85323,1.1148,0.000412749,0.000412749,0.000412749
40,1396.84,1.31161,0.9318,1.09254,0.76137,0.74822,0.81172,0.5128,1.17168,0.81258,1.10226,0.000379743,0.000379743,0.000379743
41,1433.13,1.25051,0.85073,1.06389,0.7951,0.69407,0.80051,0.51067,1.19138,0.82174,1.11028,0.000346736,0.000346736,0.000346736
42,1465.92,1.21996,0.81897,1.04989,0.79188,0.73685,0.7947,0.50406,1.18216,0.83702,1.10551,0.000313729,0.000313729,0.000313729
43,1498.23,1.21453,0.8218,1.05272,0.77782,0.74222,0.81094,0.5087,1.20395,0.81037,1.10394,0.000280723,0.000280723,0.000280723
44,1531.24,1.1881,0.7908,1.04494,0.75285,0.73568,0.80525,0.5156,1.15735,0.81396,1.09591,0.000247716,0.000247716,0.000247716
45,1568.35,1.18085,0.78629,1.04187,0.7742,0.74573,0.81633,0.51606,1.19471,0.79292,1.10912,0.00021471,0.00021471,0.00021471
46,1608.79,1.18078,0.78244,1.03471,0.77809,0.71964,0.7907,0.50748,1.16347,0.82054,1.09213,0.000181703,0.000181703,0.000181703
47,1649.38,1.17841,0.78454,1.03557,0.76766,0.72866,0.80291,0.5204,1.13893,0.80741,1.09113,0.000148696,0.000148696,0.000148696
48,1690.77,1.16746,0.76026,1.03226,0.78898,0.73126,0.80925,0.51259,1.16409,0.81136,1.09396,0.00011569,0.00011569,0.00011569
