epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6624,1.32226,0.93751,1.09276,0.72917,0.72297,0.78632,0.48841,1.24286,0.86513,1.1311,0.000554148,0.000554148,0.000554148
2,65.2731,1.39724,1.01062,1.12145,0.73009,0.69754,0.74388,0.45187,1.249,0.93656,1.1426,0.00108784,0.00108784,0.00108784
3,95.5807,1.4583,1.07942,1.14292,0.71826,0.71685,0.74712,0.43666,1.29411,0.9434,1.16442,0.00159953,0.00159953,0.00159953
4,124.605,1.44799,1.09726,1.15596,0.72644,0.68144,0.73731,0.44183,1.34114,0.94798,1.18705,0.00156798,0.00156798,0.00156798
5,154.632,1.46039,1.09474,1.16303,0.74576,0.72418,0.76896,0.46193,1.29329,0.9126,1.1546,0.00153497,0.00153497,0.00153497
6,185.457,1.44909,1.08141,1.15512,0.75167,0.6706,0.74007,0.45076,1.28511,0.98763,1.16214,0.00150197,0.00150197,0.00150197
7,213.567,1.45835,1.0963,1.15171,0.76596,0.69977,0.76336,0.46377,1.28647,0.93622,1.16414,0.00146896,0.00146896,0.00146896
8,243.964,1.42822,1.04323,1.15189,0.75681,0.69535,0.77495,0.47337,1.29675,0.87736,1.15887,0.00143595,0.00143595,0.00143595
9,271.52,1.44331,1.07141,1.14953,0.71224,0.67799,0.74585,0.46139,1.28529,0.95556,1.14666,0.00140295,0.00140295,0.00140295
10,301.136,1.40441,1.02537,1.1386,0.70561,0.70573,0.76079,0.46181,1.28888,0.99868,1.16256,0.00136994,0.00136994,0.00136994
11,330.183,1.43068,1.0399,1.14687,0.72946,0.72456,0.7725,0.48035,1.28516,0.92781,1.15737,0.00133693,0.00133693,0.00133693
12,359.421,1.41404,1.01411,1.12806,0.7254,0.68062,0.74756,0.45434,1.30629,0.91762,1.16473,0.00130393,0.00130393,0.00130393
13,387.825,1.41776,1.02504,1.13076,0.71381,0.68372,0.74731,0.45756,1.27257,0.90273,1.14774,0.00127092,0.00127092,0.00127092
14,417.595,1.40667,1.03506,1.13246,0.75951,0.67934,0.7535,0.45947,1.3084,0.92615,1.15945,0.00123791,0.00123791,0.00123791
15,447.172,1.38871,1.01618,1.13341,0.73535,0.71395,0.75383,0.4606,1.30651,0.89265,1.15734,0.00120491,0.00120491,0.00120491
16,476.89,1.37669,1.00602,1.11111,0.74779,0.69567,0.77112,0.48045,1.24475,0.88343,1.13177,0.0011719,0.0011719,0.0011719
17,506.685,1.3626,0.99819,1.10606,0.75711,0.70275,0.76214,0.46549,1.25171,0.91287,1.13016,0.00113889,0.00113889,0.00113889
18,537.697,1.38945,0.98352,1.11971,0.7269,0.71463,0.77329,0.46652,1.2807,0.9079,1.14558,0.00110589,0.00110589,0.00110589
19,576.283,1.38038,0.99106,1.11521,0.77804,0.71764,0.78666,0.48318,1.24945,0.86553,1.12535,0.00107288,0.00107288,0.00107288
20,611.313,1.33318,0.94936,1.09161,0.75537,0.71027,0.78125,0.4954,1.20041,0.87393,1.11198,0.00103987,0.00103987,0.00103987
21,642.972,1.33569,0.94861,1.09251,0.75324,0.74304,0.79767,0.49448,1.22609,0.87662,1.13667,0.00100687,0.00100687,0.00100687
22,670.54,1.32354,0.93414,1.08932,0.75508,0.72081,0.79488,0.49855,1.19915,0.87254,1.11429,0.000973861,0.000973861,0.000973861
23,699.894,1.33716,0.94001,1.10379,0.72834,0.68173,0.75682,0.48108,1.20729,0.9022,1.13449,0.000940855,0.000940855,0.000940855
24,731.49,1.32897,0.94409,1.09664,0.73573,0.73961,0.77966,0.47119,1.26842,0.89321,1.14728,0.000907848,0.000907848,0.000907848
25,763.929,1.33017,0.93383,1.08941,0.73367,0.72094,0.79723,0.50219,1.17237,0.82742,1.11903,0.000874842,0.000874842,0.000874842
26,799.55,1.31098,0.90159,1.085,0.7554,0.73701,0.80277,0.49769,1.20528,0.83859,1.10884,0.000841835,0.000841835,0.000841835
27,832.095,1.32425,0.92301,1.09267,0.74966,0.74032,0.80131,0.50243,1.18969,0.85329,1.10395,0.000808828,0.000808828,0.000808828
28,864.575,1.29565,0.9019,1.07481,0.75787,0.74338,0.79766,0.50607,1.17913,0.85684,1.11296,0.000775822,0.000775822,0.000775822
29,898.117,1.29525,0.91836,1.08709,0.78344,0.72881,0.80564,0.49411,1.23942,0.84112,1.12929,0.000742815,0.000742815,0.000742815
30,930.312,1.30708,0.89376,1.07225,0.79407,0.71912,0.7853,0.50568,1.1688,0.8344,1.09129,0.000709809,0.000709809,0.000709809
31,965.38,1.28244,0.87347,1.07157,0.72929,0.75545,0.79601,0.4996,1.18995,0.86021,1.10545,0.000676802,0.000676802,0.000676802
32,998.657,1.27226,0.88142,1.06865,0.72012,0.79318,0.8185,0.51095,1.21735,0.82539,1.11355,0.000643795,0.000643795,0.000643795
33,1030.08,1.29207,0.87775,1.07115,0.73545,0.74946,0.79993,0.50957,1.18673,0.82943,1.09486,0.000610789,0.000610789,0.000610789
34,1061.88,1.26052,0.86591,1.0623,0.76667,0.7171,0.80533,0.52066,1.172,0.81952,1.09222,0.000577782,0.000577782,0.000577782
35,1094.1,1.26176,0.86415,1.06019,0.77013,0.72701,0.8094,0.52141,1.15232,0.81913,1.08767,0.000544776,0.000544776,0.000544776
36,1126.12,1.25138,0.84656,1.05534,0.74297,0.75813,0.81425,0.52136,1.18419,0.80896,1.10386,0.000511769,0.000511769,0.000511769
37,1158.05,1.24786,0.84762,1.05981,0.73244,0.75813,0.80731,0.51576,1.16956,0.82957,1.09425,0.000478762,0.000478762,0.000478762
38,1190.93,1.22482,0.81938,1.0494,0.7226,0.74144,0.80192,0.51316,1.17589,0.80839,1.1013,0.000445756,0.000445756,0.000445756
39,1226.15,1.24054,0.834,1.04794,0.75477,0.75876,0.81372,0.52774,1.14615,0.77442,1.08662,0.000412749,0.000412749,0.000412749
40,1260.46,1.23496,0.85134,1.05243,0.76684,0.76089,0.81114,0.52476,1.17071,0.79135,1.1045,0.000379743,0.000379743,0.000379743
41,1308.85,1.15922,0.75446,1.02246,0.8039,0.7301,0.81711,0.52364,1.17366,0.77914,1.11059,0.000346736,0.000346736,0.000346736
42,1338.92,1.1437,0.73573,1.01108,0.79018,0.73618,0.81181,0.51716,1.18114,0.79322,1.10959,0.000313729,0.000313729,0.000313729
43,1369.5,1.1125,0.71666,1.0104,0.78907,0.72732,0.80448,0.52125,1.16741,0.78544,1.10462,0.000280723,0.000280723,0.000280723
44,1398.82,1.10031,0.71084,1.00083,0.7652,0.7549,0.81023,0.52311,1.17604,0.76943,1.1061,0.000247716,0.000247716,0.000247716
45,1429,1.10205,0.70587,0.99996,0.79949,0.72787,0.81804,0.52665,1.16789,0.7621,1.11469,0.00021471,0.00021471,0.00021471
46,1459,1.09538,0.7033,0.99598,0.78254,0.73372,0.81116,0.5243,1.16521,0.76547,1.09978,0.000181703,0.000181703,0.000181703
47,1490.01,1.09672,0.69573,0.98968,0.78941,0.73126,0.80524,0.52503,1.14864,0.76521,1.09895,0.000148696,0.000148696,0.000148696
48,1520.79,1.0778,0.68375,0.9896,0.80032,0.73717,0.81868,0.53245,1.15824,0.7594,1.1025,0.00011569,0.00011569,0.00011569
49,1552.05,1.08091,0.68098,0.9902,0.79213,0.73708,0.81524,0.52764,1.1571,0.75474,1.10498,8.26832e-05,8.26832e-05,8.26832e-05
50,1582.69,1.08647,0.69043,0.99668,0.801,0.73339,0.81229,0.53309,1.15104,0.75004,1.10422,4.96766e-05,4.96766e-05,4.96766e-05
